Name,AveragePay
Transportation Spec,56005.42
Sandblasting,47211.33
Aircraft Mechnical Parts Repairing,49822
Misc Warehousing And Stock Handling,56364.7
Third Assistant Engineer,62347.22
Mobile Equipment Servicing,44190.17
Acct Supp Tech,57150.87
Oprns Integra Spec,74165.13
Mgr Trans/netwrks,75060.83
Faclts Cntrct Techn,59124.13
Aircraft Electrician,50936.48
Quality Analyst,71469.43
General Equipment Operating,53335.32
First Assistant Engineer,80427.5
Electrolytic Intaglio Platemaking,103312.77
Supply Student Trainee,32375.86
Materials Expediting,47422.73
Supv Rem Encod Oper,65423.55
Maint Eng Analyst,79402.55
Real Este Spec Leas,69725.77
Aircrew Technician,82880.29
Safety Spec (tl),70972.81
Carpenter,59245
Maintenance Mgt Spc,72916.38
Unlicensed Junior Engineer,44376.52
Chief Engineer,135100.43
Mgr Trans/networks,74274.9
Cust Suppt Tech Pdc,55793.86
Cptr Sys Spec Pdc,70901.1
Cust Sv Prg Anl (a),70800.71
Mgr Cust Svc Oper,37977.52
Inventory Ctrl Spec,67019
Forest Products Technology,107050.9
Financial Sys Anlys,63770.7
Oprns Supprt Spclst,61127.35
City Car Asst Tech2,33705.25
Natl Preprd Spec,84404.15
Systems Acct Pdc,72091.2
Packing,48173.15
Environmental Health Technician,47759.35
Plastering,54965.45
Comm Engineer Sr,40530
Supv Info Sys (ndc),78745.3
Purchasing Analyst,72578.3
Tire Repairman,56791
Clerk Typist,53980.26
Veterinary Student Trainee,39842.79
Fireman Laborer,55483.84
Plumber,59149.95
Mailng Reqrmnt Clk,56979.84
Metallurgy,135600.28
Pm Rel/replcmnt,27182.56
Fac Req Spec (fso),75804.39
Cryptanalysis,115952.78
Hazardous Waste Disposing,43366.17
Buffing And Polishing,64183
Customer Svc Clk,52140.33
Management Analyst,71419.72
Mgr Maint,72342
Communications Clerical,37259.59
Upholstering,60490.94
Property Disposal Clerical And Technicia,49492.59
Plant Mgr (major),44545.76
Hr Analyst (area),53709.35
Misc Food Preparation And Serving,26659.59
Model Making,67171.76
Chief Steward,52582.24
Sr Plant Mgr (1),50058.47
Cptr Oprns Spec,72187
Plant Mgr (4),21188.82
Plant Mgr (3),33529.24
Rev Assur Analyst,80555.76
Insulating,60039.19
Education Student Trainee,41707.88
Sr Plant Mgr (2),37234.75
Injury Comp Spec,83958.94
Voma (mn Bu),57987
Purchsng Sprt Spec,62791.63
Supv Hr Shrd Svcs,69124.25
Math Statistician,57945.69
Messenger,30193.13
Electronic Digital Computer Mechanic,58614.69
Lead Sply Chn Plnr,53685.44
Voma (mv Bu),56890.75
"Attorney, Honor Prg",57739.44
Packer/warehouseman,49285.81
Language Clerical,36862.07
Lead Sr Mdo,43142.87
Mgr Mail Forwarding,76108.4
Composite/plastic Fabricating,51914.8
Transportation Student Trainee,38910.93
Comp Sys An/prog,22534.8
Mgr Net Dist Ctr(2),27641.53
Internat Sales Ex,81416.38
